sys_sql_id,in_HAS_SEG_PROFILE_THEME_E,in_HAS_SEG_TAXONOMY_ASPECT_E,name,keywords
36,[#106:11],"[#107:18, #108:46, #107:75, #108:103, #107:132, #108:160]",room bar,"[ mini bar, fully stocked bar, water, opener, minibar, mini-bar, roombar, minibars, mini-bars, ice]"
38,,"[#107:19, #108:47, #107:76, #108:104, #107:133, #108:161]",room kitchenware,"[ glasses, glass, cup, cups, cutlery, bowl, pot, pots, refrigerator, fridge, washing-machine, bottle, kitchen, kitchenette, cookware, espresso coffee machine, tea maker, microwave, jug, kitchen ware, plate, tea cup, crockery, kettle, tea bags, nescafe, kitchenware, kitchen-ware, appliance, Key, lock]"
40,,"[#107:20, #108:48, #107:77, #108:105, #107:134, #108:162]",business center,"[ presentation, business center, cisco, projector, projectors, training room, printer, stationery, files, folders, tele conference, teleconference, video conference, notepad, meeting room, conference room, xerox, photocopy, Adopter, business centre, businesscenter, businesscentre, conference]"
42,,"[#107:21, #108:49, #107:78, #108:106, #107:135, #108:163]",hotel amenities,"[ hall, halls, equipment, equipments, casino, atrium, rooftop, gymnasium, aminities, amenties, hallway, hallways, casinos, amenities, amenity, gym, health club, library, banquet halls, lounge, banquet, amenteis, Ballroom, book, electricity, Machine, Phone, Seat, telephones]"
44,,"[#107:22, #108:50, #107:79, #108:107, #107:136, #108:164]",maintenance,"[ stains, stain, mosquitoes, mosquito, mosquitos, insect, insects, ants, flies, stench, plumbing, wires, wire, wiring, odor, renovation, powercuts, powercut, leakage, rust, smell, odour, upkeep, maintenance, repair, construction, interior-maintenance, exterior-maintenance, condition, conditions, disturbance, disturbances, pest, roaches, cockroach, bedbug, bedbugs, bed bug, bed bugs, pestcontrol, alteration, bug, insect, smoke]"
46,,"[#107:23, #108:51, #107:80, #108:108, #107:137, #108:165]",housekeeping,"[ cleaning, cleanness, dust, dirt, laundry, cleanliness, housekeeping, shoe shine, maid, room boys, cleaner, helper, hygiene, shoeshine, house-keeping, cleaniness, technician]"
48,,"[#107:24, #108:52, #107:81, #108:109, #107:138, #108:166]",reception,"[ checkout, checkin, concierge, foyer, greetings, bouquet, bouquets, reception, receptionist, frontoffice, garland, garlands, check-in, checked-in, checked-out, check-out, check-outs, check-ins, front office, concierge desk, travel desk, porter, bellboy, bellboys, luggage desk, checkins, checkouts, front-office, 2-wheeler, 24 Hours, 24hours    , 24Hrs, 24hrs, 24x7, arrival, Bag, Bag, Baggage, bell, bellman, bellmen, call, departure, hr, hrs, luggage, office, Operator]"
50,,"[#107:25, #108:53, #107:82, #108:110, #107:139, #108:167]",hotel staff,"[ job, staff, help, treatment, treatments, support, personnel, assistance, department, skills, skill, guide, owner, owners, crew, executives, doorman, doormen, chap, supervisor, manger, staf, staffs, staff, managers, administrator, attendant, manager, employee, management, team, professional, communication, member, members, liftman]"
52,,"[#107:26, #108:54, #107:83, #108:111, #107:140, #108:168]",hotel feedback,"[ complaint, impression, concern, concerns, downsides, suggestions, requirement, comment, comments, difficulty, difficulties, argument, arguments, scope, queue, glitches, hassle, hassles, reviews, review, problem, problems, response, complaints, disappointment, feedback, feedbacks, improvement, issue, issues, downside, drawback, efficiency , inconvenience, love, nightmare, Opinion, photos, picture, tip, tips]"
54,"[#105:8, #105:12]","[#107:27, #108:55, #107:84, #108:112, #107:141, #108:169]",internet,"[ connection, coverage, internet, data port, connectivity, routers, wi-fi, data card, wifi, speed, network, router, data ports, net, bandwidth, signal]"
